#===============================================================================
#   Lip Height Numerical Energy  Relative Error Analytical Energy Analyt. Enrgy. Error
#===============================================================================
 -0.02666000 0.000000001483487   0.00003245 0.000000001483519   0.00002138
 -0.02687400 0.000000001483472   0.00004297 0.000000001483519   0.00003181
 -0.02708800 0.000000001483458   0.00005227 0.000000001483519   0.00004102
 -0.02730200 0.000000001483453   0.00005558 0.000000001483519   0.00004425
 -0.02751600 0.000000001483439   0.00006488 0.000000001483519   0.00005346
 -0.02773000 0.000000001483426   0.00007396 0.000000001483518   0.00006245
 -0.02794400 0.000000001483414   0.00008173 0.000000001483518   0.00007014
 -0.02815800 0.000000001483432   0.00006944 0.000000001483518   0.00005775
 -0.02837200 0.000000001483381   0.00010414 0.000000001483518   0.00009236
 -0.02858600 0.000000001483369   0.00011247 0.000000001483518   0.00010061
 -0.02880000 0.000000001483538   0.00000160 0.000000001483518   0.00001355
 -0.02901400 0.000000001483522   0.00000940 0.000000001483518   0.00000264
 -0.02922800 0.000000001483509   0.00001807 0.000000001483517   0.00000594
 -0.02944200 0.000000001483495   0.00002733 0.000000001483517   0.00001512
 -0.02965600 0.000000001483483   0.00003566 0.000000001483517   0.00002335
 -0.02987000 0.000000001483468   0.00004530 0.000000001483517   0.00003290
 -0.03008400 0.000000001483457   0.00005265 0.000000001483517   0.00004017
 -0.03029800 0.000000001483304   0.00015629 0.000000001483517   0.00014372
 -0.03051200 0.000000001483314   0.00014894 0.000000001483517   0.00013628
 -0.03072600 0.000000001483281   0.00017160 0.000000001483517   0.00015886
 -0.03094000 0.000000001483269   0.00017930 0.000000001483516   0.00016647
 -0.03115400 0.000000001483254   0.00018955 0.000000001483516   0.00017663
 -0.03136800 0.000000001483241   0.00019873 0.000000001483516   0.00018572
 -0.03158200 0.000000001483257   0.00018779 0.000000001483516   0.00017469
 -0.03179600 0.000000001483221   0.00021189 0.000000001483516   0.00019870
 -0.03201000 0.000000001483210   0.00021954 0.000000001483516   0.00020627
 -0.03222400 0.000000001483199   0.00022697 0.000000001483516   0.00021360
 -0.03243800 0.000000001483188   0.00023424 0.000000001483515   0.00022079
 -0.03265200 0.000000001483204   0.00022365 0.000000001483515   0.00021011
 -0.03286600 0.000000001482944   0.00039866 0.000000001483515   0.00038503
 -0.03308000 0.000000001483184   0.00023717 0.000000001483515   0.00022345
 -0.03329400 0.000000001482921   0.00041388 0.000000001483515   0.00040008
 -0.03350800 0.000000001482911   0.00042098 0.000000001483515   0.00040709
 -0.03372200 0.000000001482900   0.00042818 0.000000001483515   0.00041420
 -0.03393600 0.000000001483125   0.00027701 0.000000001483515   0.00026294
 -0.03415000 0.000000001482875   0.00044512 0.000000001483514   0.00043097
 -0.03436400 0.000000001482865   0.00045186 0.000000001483514   0.00043762
 -0.03457800 0.000000001482911   0.00042120 0.000000001483514   0.00040687
 -0.03479200 0.000000001482900   0.00042812 0.000000001483514   0.00041370
 -0.03500600 0.000000001482891   0.00043425 0.000000001483514   0.00041974
 -0.03522000 0.000000001482874   0.00044596 0.000000001483514   0.00043136
